eventSequence,eventType,levelId,playerId,position,reason,sessionId,timestamp,viewBeforeEvent
-1,Lose,Level0,67610129-3818-47ad-880b-1b4513fbf649,"{'x': -9.80997085571289, 'y': -16.51860237121582, 'z': -0.5}",KillZone,4507bd52-4396-4ced-88c6-77c882937839,1744006636697,N/A
-1,Start,Level0,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': -17.610000610351562, 'y': -15.5, 'z': -0.5}",N/A,4e99c6af-2130-40f1-b010-ce8688a8d743,1744007072769,Platformer
-1,Start,Level0,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': -17.610000610351562, 'y': -15.5, 'z': -0.5}",N/A,a8f0d258-77e3-46f0-a72d-834a55986dbb,1744007080020,Platformer
-1,Lose,Level0,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 4.690028667449951, 'y': -16.496967315673828, 'z': -0.5}",KillZone,a8f0d258-77e3-46f0-a72d-834a55986dbb,1744007085958,N/A
-1,Start,Level0,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': -17.610000610351562, 'y': -15.5, 'z': -0.5}",N/A,2f4a6f81-ddcc-465c-bccd-122d6c5fafb8,1744007087168,Platformer
-1,Win,Level0,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 19.6900691986084, 'y': -7.5, 'z': -0.5}",N/A,2f4a6f81-ddcc-465c-bccd-122d6c5fafb8,1744007095964,N/A
-1,Start,Level1,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': -2.5, 'y': -4.5, 'z': -0.5}",N/A,3c4a3df9-3feb-49bf-9d09-e9133da1b918,1744007097890,TopDown
-1,Lose,Level1,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 0.4999999403953552, 'y': -4.500000476837158, 'z': -0.5}",Pit,3c4a3df9-3feb-49bf-9d09-e9133da1b918,1744007103646,N/A
-1,Start,Level1,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': -2.5, 'y': -4.5, 'z': -0.5}",N/A,a17a0e58-486c-4cbc-bab7-83549843923f,1744007105113,TopDown
-1,Win,Level1,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': -16.502647399902344, 'y': -14.5, 'z': -0.5}",N/A,a17a0e58-486c-4cbc-bab7-83549843923f,1744007125187,N/A
-1,Start,Level2,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 21.5, 'y': -13.0, 'z': -0.5}",N/A,75c42c27-901d-4966-aca1-3d8193ff9b0a,1744007126514,Platformer
1,Shift,Level2,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 21.5, 'y': -13.0, 'z': -0.5}",N/A,75c42c27-901d-4966-aca1-3d8193ff9b0a,1744007127939,Platformer
2,Shift,Level2,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': -4.000004291534424, 'y': -14.0, 'z': -0.5}",N/A,75c42c27-901d-4966-aca1-3d8193ff9b0a,1744007136955,TopDown
-1,Lose,Level2,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 2.099954605102539, 'y': -16.52939224243164, 'z': -0.5}",KillZone,75c42c27-901d-4966-aca1-3d8193ff9b0a,1744007141209,N/A
-1,Start,Level2,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 21.5, 'y': -13.0, 'z': -0.5}",N/A,ac3ea430-1649-4671-9121-b322b15e46b4,1744007143939,Platformer
1,Shift,Level2,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 21.5, 'y': -13.0, 'z': -0.5}",N/A,ac3ea430-1649-4671-9121-b322b15e46b4,1744007144781,Platformer
2,Shift,Level2,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 4.999998569488525, 'y': -12.000017166137695, 'z': -0.5}",N/A,ac3ea430-1649-4671-9121-b322b15e46b4,1744007149536,TopDown
3,Shift,Level2,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': -3.9000442028045654, 'y': -14.0, 'z': -0.5}",N/A,ac3ea430-1649-4671-9121-b322b15e46b4,1744007155972,Platformer
-1,Win,Level2,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': -4.000001430511475, 'y': -13.000017166137695, 'z': -0.5}",N/A,ac3ea430-1649-4671-9121-b322b15e46b4,1744007158433,N/A
-1,Start,Level3,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 16.0, 'y': -14.0, 'z': -0.5}",N/A,3d84c5c4-6550-4443-a15f-1b4be4e54f91,1744007159614,Platformer
1,Shift,Level3,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 16.0, 'y': -14.0, 'z': -0.5}",N/A,3d84c5c4-6550-4443-a15f-1b4be4e54f91,1744007160446,Platformer
2,Shift,Level3,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 7.0, 'y': -6.0, 'z': -0.5}",N/A,3d84c5c4-6550-4443-a15f-1b4be4e54f91,1744007161391,TopDown
3,Shift,Level3,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 16.0, 'y': -14.0, 'z': -0.5}",N/A,3d84c5c4-6550-4443-a15f-1b4be4e54f91,1744007169476,Platformer
4,Shift,Level3,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 10.0, 'y': -5.0, 'z': -0.5}",N/A,3d84c5c4-6550-4443-a15f-1b4be4e54f91,1744007177547,TopDown
5,Shift,Level3,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 16.0, 'y': -14.0, 'z': -0.5}",N/A,3d84c5c4-6550-4443-a15f-1b4be4e54f91,1744007178926,Platformer
6,Shift,Level3,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 15.999977111816406, 'y': -4.0, 'z': -0.5}",N/A,3d84c5c4-6550-4443-a15f-1b4be4e54f91,1744007203485,TopDown
8,Shift,Level3,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 13.999977111816406, 'y': -11.0, 'z': -0.5}",N/A,3d84c5c4-6550-4443-a15f-1b4be4e54f91,1744007209976,TopDown
9,Shift,Level3,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 15.199996948242188, 'y': -14.1564359664917, 'z': -0.5}",N/A,3d84c5c4-6550-4443-a15f-1b4be4e54f91,1744007214788,Platformer
10,Shift,Level3,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 15.999977111816406, 'y': -11.0, 'z': -0.5}",N/A,3d84c5c4-6550-4443-a15f-1b4be4e54f91,1744007217590,TopDown
11,Shift,Level3,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 12.999988555908203, 'y': -9.818314552307129, 'z': -0.5}",N/A,3d84c5c4-6550-4443-a15f-1b4be4e54f91,1744007220157,Platformer
12,Shift,Level3,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 13.999977111816406, 'y': -11.0, 'z': -0.5}",N/A,3d84c5c4-6550-4443-a15f-1b4be4e54f91,1744007224619,TopDown
13,Shift,Level3,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': -1.0000241994857788, 'y': -5.0, 'z': -0.5}",N/A,3d84c5c4-6550-4443-a15f-1b4be4e54f91,1744007227869,Platformer
-1,Win,Level3,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': -2.0205974578857422e-05, 'y': -3.999999523162842, 'z': -0.5}",N/A,3d84c5c4-6550-4443-a15f-1b4be4e54f91,1744007238249,N/A
-1,Start,Level4,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 17.5, 'y': -10.5, 'z': -0.5}",N/A,bf3ec89e-ccfb-4a6e-9666-bddac3cf4523,1744007239875,Platformer
1,Shift,Level4,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 17.5, 'y': -10.5, 'z': -0.5}",N/A,bf3ec89e-ccfb-4a6e-9666-bddac3cf4523,1744007240859,Platformer
2,Shift,Level4,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 4.5, 'y': -14.5, 'z': -0.5}",N/A,bf3ec89e-ccfb-4a6e-9666-bddac3cf4523,1744007246787,TopDown
3,Shift,Level4,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': -3.6200003623962402, 'y': -7.5, 'z': -0.5}",N/A,bf3ec89e-ccfb-4a6e-9666-bddac3cf4523,1744007253299,Platformer
4,Shift,Level4,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 1.5000026226043701, 'y': -7.5, 'z': -0.5}",N/A,bf3ec89e-ccfb-4a6e-9666-bddac3cf4523,1744007259144,TopDown
-1,Win,Level4,47798260-c041-474f-b97f-db25b0b2dec2,"{'x': 1.4799985885620117, 'y': -6.129371166229248, 'z': -0.5}",N/A,bf3ec89e-ccfb-4a6e-9666-bddac3cf4523,1744007260509,N/A
-1,Start,Level5,91150c62-49d9-4bc3-96a4-e698726526b7,"{'x': 17.5, 'y': -9.9399995803833, 'z': -0.5}",N/A,77c02e8b-c464-4416-99df-085e6ec77e50,1744007443327,Platformer
-1,Start,Level5,91150c62-49d9-4bc3-96a4-e698726526b7,"{'x': 17.5, 'y': -9.9399995803833, 'z': -0.5}",N/A,04c44dae-7b86-4580-a7ea-5444dde47d17,1744007448330,Platformer
-1,Start,Level5,91150c62-49d9-4bc3-96a4-e698726526b7,"{'x': 17.5, 'y': -9.9399995803833, 'z': -0.5}",N/A,035d7dfe-aac3-4539-8de5-a554068bf598,1744007450966,Platformer
-1,Start,Level5,91150c62-49d9-4bc3-96a4-e698726526b7,"{'x': 17.5, 'y': -9.9399995803833, 'z': -0.5}",N/A,70e7fe3a-2b98-48e3-b52e-a21435e2d228,1744007455587,Platformer
-1,Start,Level4,91150c62-49d9-4bc3-96a4-e698726526b7,"{'x': 17.5, 'y': -10.5, 'z': -0.5}",N/A,3eaece81-92b3-4a77-8f52-87d1036ec7b7,1744007461247,Platformer
-1,Lose,Level4,91150c62-49d9-4bc3-96a4-e698726526b7,"{'x': 13.499984741210938, 'y': -16.62355613708496, 'z': -0.5}",KillZone,3eaece81-92b3-4a77-8f52-87d1036ec7b7,1744007463614,N/A
-1,Start,Level4,91150c62-49d9-4bc3-96a4-e698726526b7,"{'x': 17.5, 'y': -10.5, 'z': -0.5}",N/A,ac744431-9011-4845-b1ea-cb38c3321b58,1744007464817,Platformer
-1,Start,Level0,45f888b6-59e3-4de6-92b9-8e16f274e8a4,"{'x': -17.610000610351562, 'y': -15.5, 'z': -0.5}",N/A,49aa3f46-b9c2-4233-9d37-ae883bf09337,1744008532759,Platformer
-1,Start,Level0,45f888b6-59e3-4de6-92b9-8e16f274e8a4,"{'x': -17.610000610351562, 'y': -15.5, 'z': -0.5}",N/A,af86a88f-7344-4467-bd7a-dc1b427210ce,1744008537541,Platformer
-1,Lose,Level0,45f888b6-59e3-4de6-92b9-8e16f274e8a4,"{'x': -10.70997428894043, 'y': -16.518577575683594, 'z': -0.5}",KillZone,af86a88f-7344-4467-bd7a-dc1b427210ce,1744008540643,N/A
-1,Start,Level1,45f888b6-59e3-4de6-92b9-8e16f274e8a4,"{'x': -2.5, 'y': -4.5, 'z': -0.5}",N/A,06a5c17c-6545-4b89-8c8a-bd12583b03f2,1744008543708,TopDown
-1,Start,Level2,2ffc0eb6-7d15-4050-a150-85210a4aca2e,"{'x': 21.5, 'y': -13.0, 'z': -0.5}",N/A,b7caed44-517a-43c7-8f43-5888bc344c25,1744008676362,Platformer
